			Head-H	*NonHd-H	Nonfin	FtBin	WSP	NoFlop-H	Dep-mu	Dep-H
			Head-H	*NonHd-H	Nonfin	FtBin	WSP	NoFlop-H	Dep-mu	Dep-H
vodA	vo(dA)	0	0	0	1	1	0	0	0	0
	(vodA)	0	1	1	0	0	0	0	0	0
	(vo)dA	0	1	0	0	1	0	0	0	0
	(vOda)	1	0	0	0	0	0	1	0	0
	(voo)dA	0	1	0	0	0	0	0	1	0
	(vOo)da	0	0	0	0	0	0	1	1	0
ruukA	ruu(kA)	0	0	0	1	1	1	0	0	0
	(ruu)kA	1	1	0	0	0	0	0	0	0
	(rUu)ka	0	0	0	0	0	0	1	0	0
brAt	(brAt)	1	0	0	0	1	0	0	0	0
	(brAat)	0	0	0	0	0	0	0	1	0
led	(led)	0	1	0	0	1	0	0	0	0
	(lEd)	0	0	0	0	1	0	0	0	1
	(leed)	1	1	0	0	0	0	0	1	0
	(lEed)	0	0	0	0	0	0	0	1	1
sekIra	se(kIra)	1	0	0	0	0	0	0	0	0
	(sekI)ra	0	1	1	0	0	0	0	0	0
	se(kIi)ra	0	0	0	0	0	0	0	1	0
prodAavnica	pro(dAav)nica	1	0	0	0	0	0	0	0	0
	(pro)dAavnica	0	1	0	0	1	1	0	0	0
	prodAav(nica)	0	1	0	0	0	1	0	0	0
uraadIse	uraa(dIse)	1	0	0	0	0	1	0	0	0
	u(raa)dIse	0	1	0	0	0	0	0	0	0
